Austria, Live births by birth cohort, age and birth order (horizontal parallelograms, age in completed years (ACY))
Last modified: 05/08/2021
Cohort  Age        Total          B1          B2          B3          B4         B5p
1930     40            .           .           .           .           .           .
1930     41            .           .           .           .           .           .
1930     42            .           .           .           .           .           .
1930     43            .           .           .           .           .           .
1930     44            .           .           .           .           .           .
1930     45            .           .           .           .           .           .
1930     46            .           .           .           .           .           .
1930     47            .           .           .           .           .           .
1930     48            .           .           .           .           .           .
1930     49            .           .           .           .           .           .
1930     50            .           .           .           .           .           .
1930     51            .           .           .           .           .           .
1930     52            .           .           .           .           .           .
1930     53            .           .           .           .           .           .
1930     54         0.00        0.00        0.00        0.00        0.00        0.00
1930     55+        0.00        0.00        0.00        0.00        0.00        0.00
1931     12-           .           .           .           .           .           .
1931     13            .           .           .           .           .           .
1931     14            .           .           .           .           .           .
1931     15            .           .           .           .           .           .
1931     16            .           .           .           .           .           .
1931     17            .           .           .           .           .           .
1931     18            .           .           .           .           .           .
1931     19            .           .           .           .           .           .
1931     20            .           .           .           .           .           .
1931     21            .           .           .           .           .           .
1931     22            .           .           .           .           .           .
1931     23            .           .           .           .           .           .
1931     24            .           .           .           .           .           .
1931     25            .           .           .           .           .           .
1931     26            .           .           .           .           .           .
1931     27            .           .           .           .           .           .
1931     28            .           .           .           .           .           .
1931     29            .           .           .           .           .           .
1931     30            .           .           .           .           .           .
1931     31            .           .           .           .           .           .
1931     32            .           .           .           .           .           .
1931     33            .           .           .           .           .           .
1931     34            .           .           .           .           .           .
1931     35            .           .           .           .           .           .
1931     36            .           .           .           .           .           .
1931     37            .           .           .           .           .           .
1931     38            .           .           .           .           .           .
1931     39            .           .           .           .           .           .
1931     40            .           .           .           .           .           .
1931     41            .           .           .           .           .           .
1931     42            .           .           .           .           .           .
1931     43            .           .           .           .           .           .
1931     44            .           .           .           .           .           .
1931     45            .           .           .           .           .           .
1931     46            .           .           .           .           .           .
1931     47            .           .           .           .           .           .
1931     48            .           .           .           .           .           .
1931     49            .           .           .           .           .           .
1931     50            .           .           .           .           .           .
1931     51            .           .           .           .           .           .
1931     52            .           .           .           .           .           .
1931     53         0.00        0.00        0.00        0.00        0.00        0.00
1931     54         0.00        0.00        0.00        0.00        0.00        0.00
1931     55+        0.00        0.00        0.00        0.00        0.00        0.00
1932     12-           .           .           .           .           .           .
1932     13            .           .           .           .           .           .
1932     14            .           .           .           .           .           .
1932     15            .           .           .           .           .           .
1932     16            .           .           .           .           .           .
1932     17            .           .           .           .           .           .
1932     18            .           .           .           .           .           .
1932     19            .           .           .           .           .           .
1932     20            .           .           .           .           .           .
1932     21            .           .           .           .           .           .
1932     22            .           .           .           .           .           .
1932     23            .           .           .           .           .           .
1932     24            .           .           .           .           .           .
1932     25            .           .           .           .           .           .
1932     26            .           .           .           .           .           .
1932     27            .           .           .           .           .           .
1932     28            .           .           .           .           .           .
1932     29            .           .           .           .           .           .
1932     30            .           .           .           .           .           .
1932     31            .           .           .           .           .           .
1932     32            .           .           .           .           .           .
1932     33            .           .           .           .           .           .
1932     34            .           .           .           .           .           .
1932     35            .           .           .           .           .           .
1932     36            .           .           .           .           .           .
1932     37            .           .           .           .           .           .
1932     38            .           .           .           .           .           .
1932     39            .           .           .           .           .           .
1932     40            .           .           .           .           .           .
1932     41            .           .           .           .           .           .
1932     42            .           .           .           .           .           .
1932     43            .           .           .           .           .           .
1932     44            .           .           .           .           .           .
1932     45            .           .           .           .           .           .
1932     46            .           .           .           .           .           .
1932     47            .           .           .           .           .           .
1932     48            .           .           .           .           .           .
1932     49            .           .           .           .           .           .
1932     50            .           .           .           .           .           .
1932     51            .           .           .           .           .           .
1932     52         0.00        0.00        0.00        0.00        0.00        0.00
1932     53         0.00        0.00        0.00        0.00        0.00        0.00
1932     54         0.00        0.00        0.00        0.00        0.00        0.00
1932     55+        0.00        0.00        0.00        0.00        0.00        0.00
1933     12-           .           .           .           .           .           .
1933     13            .           .           .           .           .           .
1933     14            .           .           .           .           .           .
1933     15            .           .           .           .           .           .
1933     16            .           .           .           .           .           .
1933     17            .           .           .           .           .           .
1933     18            .           .           .           .           .           .
1933     19            .           .           .           .           .           .
1933     20            .           .           .           .           .           .
1933     21            .           .           .           .           .           .
1933     22            .           .           .           .           .           .
1933     23            .           .           .           .           .           .
1933     24            .           .           .           .           .           .
1933     25            .           .           .           .           .           .
1933     26            .           .           .           .           .           .
1933     27            .           .           .           .           .           .
1933     28            .           .           .           .           .           .
1933     29            .           .           .           .           .           .
1933     30            .           .           .           .           .           .
1933     31            .           .           .           .           .           .
1933     32            .           .           .           .           .           .
1933     33            .           .           .           .           .           .
1933     34            .           .           .           .           .           .
1933     35            .           .           .           .           .           .
1933     36            .           .           .           .           .           .
1933     37            .           .           .           .           .           .
1933     38            .           .           .           .           .           .
1933     39            .           .           .           .           .           .
1933     40            .           .           .           .           .           .
1933     41            .           .           .           .           .           .
1933     42            .           .           .           .           .           .
1933     43            .           .           .           .           .           .
1933     44            .           .           .           .           .           .
1933     45            .           .           .           .           .           .
1933     46            .           .           .           .           .           .
1933     47            .           .           .           .           .           .
1933     48            .           .           .           .           .           .
1933     49            .           .           .           .           .           .
1933     50            .           .           .           .           .           .
1933     51         0.00        0.00        0.00        0.00        0.00        0.00
1933     52         0.00        0.00        0.00        0.00        0.00        0.00
1933     53         0.00        0.00        0.00        0.00        0.00        0.00
1933     54         0.00        0.00        0.00        0.00        0.00        0.00
1933     55+        0.00        0.00        0.00        0.00        0.00        0.00
1934     12-           .           .           .           .           .           .
1934     13            .           .           .           .           .           .
1934     14            .           .           .           .           .           .
1934     15            .           .           .           .           .           .
1934     16            .           .           .           .           .           .
1934     17            .           .           .           .           .           .
1934     18            .           .           .           .           .           .
1934     19            .           .           .           .           .           .
1934     20            .           .           .           .           .           .
1934     21            .           .           .           .           .           .
1934     22            .           .           .           .           .           .
1934     23            .           .           .           .           .           .
1934     24            .           .           .           .           .           .
1934     25            .           .           .           .           .           .
1934     26            .           .           .           .           .           .
1934     27            .           .           .           .           .           .
1934     28            .           .           .           .           .           .
1934     29            .           .           .           .           .           .
1934     30            .           .           .           .           .           .
1934     31            .           .           .           .           .           .
1934     32            .           .           .           .           .           .
1934     33            .           .           .           .           .           .
1934     34            .           .           .           .           .           .
1934     35            .           .           .           .           .           .
1934     36            .           .           .           .           .           .
1934     37            .           .           .           .           .           .
1934     38            .           .           .           .           .           .
1934     39            .           .           .           .           .           .
1934     40            .           .           .           .           .           .
1934     41            .           .           .           .           .           .
1934     42            .           .           .           .           .           .
1934     43            .           .           .           .           .           .
1934     44            .           .           .           .           .           .
1934     45            .           .           .           .           .           .
1934     46            .           .           .           .           .           .
1934     47            .           .           .           .           .           .
1934     48            .           .           .           .           .           .
1934     49            .           .           .           .           .           .
1934     50         0.00        0.00        0.00        0.00        0.00        0.00
1934     51         0.00        0.00        0.00        0.00        0.00        0.00
1934     52         1.00        0.00        0.00        0.00        0.00        1.00
1934     53         0.00        0.00        0.00        0.00        0.00        0.00
1934     54         0.00        0.00        0.00        0.00        0.00        0.00
1934     55+        0.00        0.00        0.00        0.00        0.00        0.00
1935     12-           .           .           .           .           .           .
1935     13            .           .           .           .           .           .
1935     14            .           .           .           .           .           .
1935     15            .           .           .           .           .           .
1935     16            .           .           .           .           .           .
1935     17            .           .           .           .           .           .
1935     18            .           .           .           .           .           .
1935     19            .           .           .           .           .           .
1935     20            .           .           .           .           .           .
1935     21            .           .           .           .           .           .
1935     22            .           .           .           .           .           .
1935     23            .           .           .           .           .           .
1935     24            .           .           .           .           .           .
1935     25            .           .           .           .           .           .
1935     26            .           .           .           .           .           .
1935     27            .           .           .           .           .           .
1935     28            .           .           .           .           .           .
1935     29            .           .           .           .           .           .
1935     30            .           .           .           .           .           .
1935     31            .           .           .           .           .           .
1935     32            .           .           .           .           .           .
1935     33            .           .           .           .           .           .
1935     34            .           .           .           .           .           .
1935     35            .           .           .           .           .           .
1935     36            .           .           .           .           .           .
1935     37            .           .           .           .           .           .
1935     38            .           .           .           .           .           .
1935     39            .           .           .           .           .           .
1935     40            .           .           .           .           .           .
1935     41            .           .           .           .           .           .
1935     42            .           .           .           .           .           .
1935     43            .           .           .           .           .           .
1935     44            .           .           .           .           .           .
1935     45            .           .           .           .           .           .
1935     46            .           .           .           .           .           .
1935     47            .           .           .           .           .           .
1935     48            .           .           .           .           .           .
1935     49         0.00        0.00        0.00        0.00        0.00        0.00
1935     50         0.00        0.00        0.00        0.00        0.00        0.00
1935     51         0.00        0.00        0.00        0.00        0.00        0.00
1935     52         0.00        0.00        0.00        0.00        0.00        0.00
1935     53         0.00        0.00        0.00        0.00        0.00        0.00
1935     54         0.00        0.00        0.00        0.00        0.00        0.00
1935     55+        0.00        0.00        0.00        0.00        0.00        0.00
1936     12-           .           .           .           .           .           .
1936     13            .           .           .           .           .           .
1936     14            .           .           .           .           .           .
1936     15            .           .           .           .           .           .
1936     16            .           .           .           .           .           .
1936     17            .           .           .           .           .           .
1936     18            .           .           .           .           .           .
1936     19            .           .           .           .           .           .
1936     20            .           .           .           .           .           .
1936     21            .           .           .           .           .           .
1936     22            .           .           .           .           .           .
1936     23            .           .           .           .           .           .
1936     24            .           .           .           .           .           .
1936     25            .           .           .           .           .           .
1936     26            .           .           .           .           .           .
1936     27            .           .           .           .           .           .
1936     28            .           .           .           .           .           .
1936     29            .           .           .           .           .           .
1936     30            .           .           .           .           .           .
1936     31            .           .           .           .           .           .
1936     32            .           .           .           .           .           .
1936     33            .           .           .           .           .           .
1936     34            .           .           .           .           .           .
1936     35            .           .           .           .           .           .
1936     36            .           .           .           .           .           .
1936     37            .           .           .           .           .           .
1936     38            .           .           .           .           .           .
1936     39            .           .           .           .           .           .
1936     40            .           .           .           .           .           .
1936     41            .           .           .           .           .           .
1936     42            .           .           .           .           .           .
1936     43            .           .           .           .           .           .
1936     44            .           .           .           .           .           .
1936     45            .           .           .           .           .           .
1936     46            .           .           .           .           .           .
1936     47            .           .           .           .           .           .
1936     48         3.00        0.00        0.00        0.00        2.00        1.00
1936     49         0.00        0.00        0.00        0.00        0.00        0.00
1936     50         2.00        0.00        0.00        0.00        0.00        2.00
1936     51         0.00        0.00        0.00        0.00        0.00        0.00
1936     52         0.00        0.00        0.00        0.00        0.00        0.00
1936     53         0.00        0.00        0.00        0.00        0.00        0.00
1936     54         0.00        0.00        0.00        0.00        0.00        0.00
1936     55+        0.00        0.00        0.00        0.00        0.00        0.00
1937     12-           .           .           .           .           .           .
1937     13            .           .           .           .           .           .
1937     14            .           .           .           .           .           .
1937     15            .           .           .           .           .           .
1937     16            .           .           .           .           .           .
1937     17            .           .           .           .           .           .
1937     18            .           .           .           .           .           .
1937     19            .           .           .           .           .           .
1937     20            .           .           .           .           .           .
1937     21            .           .           .           .           .           .
1937     22            .           .           .           .           .           .
1937     23            .           .           .           .           .           .
1937     24            .           .           .           .           .           .
1937     25            .           .           .           .           .           .
1937     26            .           .           .           .           .           .
1937     27            .           .           .           .           .           .
1937     28            .           .           .           .           .           .
1937     29            .           .           .           .           .           .
1937     30            .           .           .           .           .           .
1937     31            .           .           .           .           .           .
1937     32            .           .           .           .           .           .
1937     33            .           .           .           .           .           .
1937     34            .           .           .           .           .           .
1937     35            .           .           .           .           .           .
1937     36            .           .           .           .           .           .
1937     37            .           .           .           .           .           .
1937     38            .           .           .           .           .           .
1937     39            .           .           .           .           .           .
1937     40            .           .           .           .           .           .
1937     41            .           .           .           .           .           .
1937     42            .           .           .           .           .           .
1937     43            .           .           .           .           .           .
1937     44            .           .           .           .           .           .
1937     45            .           .           .           .           .           .
1937     46            .           .           .           .           .           .
1937     47         9.00        0.00        1.00        1.00        2.00        5.00
1937     48         3.00        0.00        1.00        0.00        0.00        2.00
1937     49         2.00        0.00        0.00        0.00        0.00        2.00
1937     50         0.00        0.00        0.00        0.00        0.00        0.00
1937     51         0.00        0.00        0.00        0.00        0.00        0.00
1937     52         0.00        0.00        0.00        0.00        0.00        0.00
1937     53         0.00        0.00        0.00        0.00        0.00        0.00
1937     54         0.00        0.00        0.00        0.00        0.00        0.00
1937     55+        0.00        0.00        0.00        0.00        0.00        0.00
1938     12-           .           .           .           .           .           .
1938     13            .           .           .           .           .           .
1938     14            .           .           .           .           .           .
1938     15            .           .           .           .           .           .
1938     16            .           .           .           .           .           .
1938     17            .           .           .           .           .           .
1938     18            .           .           .           .           .           .
1938     19            .           .           .           .           .           .
1938     20            .           .           .           .           .           .
1938     21            .           .           .           .           .           .
1938     22            .           .           .           .           .           .
1938     23            .           .           .           .           .           .
1938     24            .           .           .           .           .           .
1938     25            .           .           .           .           .           .
1938     26            .           .           .           .           .           .
1938     27            .           .           .           .           .           .
1938     28            .           .           .           .           .           .
1938     29            .           .           .           .           .           .
1938     30            .           .           .           .           .           .
1938     31            .           .           .           .           .           .
1938     32            .           .           .           .           .           .
1938     33            .           .           .           .           .           .
1938     34            .           .           .           .           .           .
1938     35            .           .           .           .           .           .
1938     36            .           .           .           .           .           .
1938     37            .           .           .           .           .           .
1938     38            .           .           .           .           .           .
1938     39            .           .           .           .           .           .
1938     40            .           .           .           .           .           .
1938     41            .           .           .           .           .           .
1938     42            .           .           .           .           .           .
1938     43            .           .           .           .           .           .
1938     44            .           .           .           .           .           .
1938     45            .           .           .           .           .           .
1938     46        22.00        0.00        2.00        5.00        4.00       11.00
1938     47         5.00        0.00        0.00        0.00        2.00        3.00
1938     48         5.00        0.00        0.00        2.00        1.00        2.00
1938     49         0.00        0.00        0.00        0.00        0.00        0.00
1938     50         1.00        0.00        0.00        1.00        0.00        0.00
1938     51         0.00        0.00        0.00        0.00        0.00        0.00
1938     52         0.00        0.00        0.00        0.00        0.00        0.00
1938     53         0.00        0.00        0.00        0.00        0.00        0.00
1938     54         0.00        0.00        0.00        0.00        0.00        0.00
1938     55+        0.00        0.00        0.00        0.00        0.00        0.00
1939     12-           .           .           .           .           .           .
1939     13            .           .           .           .           .           .
1939     14            .           .           .           .           .           .
1939     15            .           .           .           .           .           .
1939     16            .           .           .           .           .           .
1939     17            .           .           .           .           .           .
1939     18            .           .           .           .           .           .
1939     19            .           .           .           .           .           .
1939     20            .           .           .           .           .           .
1939     21            .           .           .           .           .           .
1939     22            .           .           .           .           .           .
1939     23            .           .           .           .           .           .
1939     24            .           .           .           .           .           .
1939     25            .           .           .           .           .           .
1939     26            .           .           .           .           .           .
1939     27            .           .           .           .           .           .
1939     28            .           .           .           .           .           .
1939     29            .           .           .           .           .           .
1939     30            .           .           .           .           .           .
1939     31            .           .           .           .           .           .
1939     32            .           .           .           .           .           .
1939     33            .           .           .           .           .           .
1939     34            .           .           .           .           .           .
1939     35            .           .           .           .           .           .
1939     36            .           .           .           .           .           .
1939     37            .           .           .           .           .           .
1939     38            .           .           .           .           .           .
1939     39            .           .           .           .           .           .
1939     40            .           .           .           .           .           .
1939     41            .           .           .           .           .           .
1939     42            .           .           .           .           .           .
1939     43            .           .           .           .           .           .
1939     44            .           .           .           .           .           .
1939     45        41.00        2.00        4.00        9.00        5.00       21.00
1939     46        21.00        0.00        3.00        5.00        1.00       12.00
1939     47         7.00        0.00        0.00        2.00        1.00        4.00
1939     48         1.00        1.00        0.00        0.00        0.00        0.00
1939     49         1.00        0.00        0.00        0.00        1.00        0.00
1939     50         0.00        0.00        0.00        0.00        0.00        0.00
1939     51         0.00        0.00        0.00        0.00        0.00        0.00
1939     52         0.00        0.00        0.00        0.00        0.00        0.00
1939     53         0.00        0.00        0.00        0.00        0.00        0.00
1939     54         0.00        0.00        0.00        0.00        0.00        0.00
1939     55+        0.00        0.00        0.00        0.00        0.00        0.00
1940     12-           .           .           .           .           .           .
1940     13            .           .           .           .           .           .
1940     14            .           .           .           .           .           .
1940     15            .           .           .           .           .           .
1940     16            .           .           .           .           .           .
1940     17            .           .           .           .           .           .
1940     18            .           .           .           .           .           .
1940     19            .           .           .           .           .           .
1940     20            .           .           .           .           .           .
1940     21            .           .           .           .           .           .
1940     22            .           .           .           .           .           .
1940     23            .           .           .           .           .           .
1940     24            .           .           .           .           .           .
1940     25            .           .           .           .           .           .
1940     26            .           .           .           .           .           .
1940     27            .           .           .           .           .           .
1940     28            .           .           .           .           .           .
1940     29            .           .           .           .           .           .
1940     30            .           .           .           .           .           .
1940     31            .           .           .           .           .           .
1940     32            .           .           .           .           .           .
1940     33            .           .           .           .           .           .
1940     34            .           .           .           .           .           .
1940     35            .           .           .           .           .           .
1940     36            .           .           .           .           .           .
1940     37            .           .           .           .           .           .
1940     38            .           .           .           .           .           .
1940     39            .           .           .           .           .           .
1940     40            .           .           .           .           .           .
1940     41            .           .           .           .           .           .
1940     42            .           .           .           .           .           .
1940     43            .           .           .           .           .           .
1940     44        60.00        3.00       11.00        9.00       11.00       26.00
1940     45        25.00        1.00        7.00        4.00        4.00        9.00
1940     46        15.00        1.00        0.00        0.00        5.00        9.00
1940     47         8.00        0.00        2.00        2.00        1.00        3.00
1940     48         3.00        0.00        0.00        1.00        0.00        2.00
1940     49         0.00        0.00        0.00        0.00        0.00        0.00
1940     50         1.00        0.00        0.00        1.00        0.00        0.00
1940     51         0.00        0.00        0.00        0.00        0.00        0.00
1940     52         0.00        0.00        0.00        0.00        0.00        0.00
1940     53         0.00        0.00        0.00        0.00        0.00        0.00
1940     54         0.00        0.00        0.00        0.00        0.00        0.00
1940     55+        0.00        0.00        0.00        0.00        0.00        0.00
1941     12-           .           .           .           .           .           .
